# tracer: function_graph
#
# CPU  TASK/PID         DURATION                  FUNCTION CALLS
# |     |    |           |   |                     |   |   |   |
 3)    dd-83136    |               |  vfs_write() {
 3)    dd-83136    |               |    rw_verify_area() {
 3)    dd-83136    |   0.334 us    |      security_file_permission();
 3)    dd-83136    |   0.584 us    |    }
 3)    dd-83136    |   0.166 us    |    write_null();
 3)    dd-83136    |   1.166 us    |  }
 2)    dd-83135    |               |  vfs_write() {
 2)    dd-83135    |               |    rw_verify_area() {
 2)    dd-83135    |   0.375 us    |      security_file_permission();
 2)    dd-83135    |   0.666 us    |    }
 2)    dd-83135    |   0.125 us    |    write_null();
 2)    dd-83135    |   1.333 us    |  }
 ------------------------------------------
 4)    sh-83082    =>    dd-83137   
 ------------------------------------------

 4)    dd-83137    |               |  vfs_write() {
 4)    dd-83137    |               |    rw_verify_area() {
 4)    dd-83137    |   0.458 us    |      security_file_permission();
 4)    dd-83137    |   0.792 us    |    }
 2)    dd-83135    |               |  vfs_write() {
 4)    dd-83137    |   0.166 us    |    dynamic_might_resched();
 2)    dd-83135    |               |    rw_verify_area() {
 2)    dd-83135    |   0.417 us    |      security_file_permission();
 4)    dd-83137    |               |    shmem_file_write_iter() {
 4)    dd-83137    |   0.209 us    |      down_write();
 2)    dd-83135    |   0.667 us    |    }
 2)    dd-83135    |   0.166 us    |    write_null();
 4)    dd-83137    |   0.291 us    |      generic_write_checks();
 2)    dd-83135    |   1.250 us    |  }
 4)    dd-83137    |   1.167 us    |      file_remove_privs();
 2)    dd-83135    |               |  vfs_write() {
 2)    dd-83135    |               |    rw_verify_area() {
 2)    dd-83135    |   0.375 us    |      security_file_permission();
 4)    dd-83137    |   0.375 us    |      file_update_time();
 2)    dd-83135    |   0.625 us    |    }
 2)    dd-83135    |   0.125 us    |    write_null();
 4)    dd-83137    |   7.250 us    |      generic_perform_write();
 2)    dd-83135    |   1.167 us    |  }
 4)    dd-83137    |   0.125 us    |      up_write();
 4)    dd-83137    | + 10.333 us   |    }
 4)    dd-83137    | + 12.709 us   |  }
 4)    dd-83137    |               |  vfs_write() {
 4)    dd-83137    |               |    rw_verify_area() {
 4)    dd-83137    |   0.416 us    |      security_file_permission();
 4)    dd-83137    |   0.666 us    |    }
 4)    dd-83137    |   0.125 us    |    dynamic_might_resched();
 4)    dd-83137    |               |    shmem_file_write_iter() {
 4)    dd-83137    |   0.209 us    |      down_write();
 4)    dd-83137    |   0.209 us    |      generic_write_checks();
 4)    dd-83137    |   0.208 us    |      file_remove_privs();
 4)    dd-83137    |   0.334 us    |      file_update_time();
 4)    dd-83137    |   1.500 us    |      generic_perform_write();
 4)    dd-83137    |   0.125 us    |      up_write();
 4)    dd-83137    |   3.500 us    |    }
 4)    dd-83137    |   4.959 us    |  }
 4)    dd-83137    |               |  vfs_write() {
 4)    dd-83137    |               |    rw_verify_area() {
 4)    dd-83137    |   0.458 us    |      security_file_permission();
 4)    dd-83137    |   0.708 us    |    }
 4)    dd-83137    |   0.166 us    |    write_null();
 4)    dd-83137    |   1.458 us    |  }
 4)    dd-83137    |               |  vfs_write() {
 4)    dd-83137    |               |    rw_verify_area() {
 4)    dd-83137    |   0.417 us    |      security_file_permission();
 4)    dd-83137    |   0.708 us    |    }
 4)    dd-83137    |   0.125 us    |    write_null();
 4)    dd-83137    |   1.250 us    |  }
